[29, 39, 49, 59, 69, 34, 44, 54, 64, 55, 65, 75, 72, 73, 74, 15, 16]
[59, 69, 79, 89, 99, 12, 22, 32, 42, 73, 83, 93, 33, 34, 35, 71, 72]
[94, 95, 96, 97, 98, 22, 23, 24, 25, 20, 30, 40, 64, 65, 66, 75, 85]
[48, 58, 68, 78, 88, 42, 43, 44, 45, 23, 24, 25, 37, 38, 39, 75, 76]
[9, 19, 29, 39, 49, 23, 24, 25, 26, 57, 58, 59, 82, 83, 84, 43, 44]
[3, 4, 5, 6, 7, 23, 33, 43, 53, 36, 46, 56, 59, 69, 79, 10, 11]
[54, 55, 56, 57, 58, 82, 83, 84, 85, 40, 41, 42, 70, 71, 72, 73, 74]
[53, 54, 55, 56, 57, 63, 73, 83, 93, 84, 85, 86, 22, 32, 42, 74, 75]
[32, 33, 34, 35, 36, 57, 67, 77, 87, 83, 84, 85, 44, 54, 64, 37, 38]
[31, 41, 51, 61, 71, 26, 36, 46, 56, 45, 55, 65, 62, 63, 64, 42, 52]
[51, 61, 71, 81, 91, 86, 87, 88, 89, 25, 35, 45, 0, 1, 2, 20, 30]
[46, 56, 66, 76, 86, 6, 16, 26, 36, 87, 88, 89, 24, 34, 44, 13, 23]
[21, 22, 23, 24, 25, 48, 58, 68, 78, 94, 95, 96, 16, 26, 36, 73, 83]
[43, 44, 45, 46, 47, 30, 31, 32, 33, 40, 41, 42, 2, 3, 4, 48, 58]
[35, 36, 37, 38, 39, 4, 14, 24, 34, 51, 61, 71, 65, 66, 67, 80, 81]
[63, 64, 65, 66, 67, 81, 82, 83, 84, 85, 86, 87, 79, 89, 99, 45, 55]
[18, 28, 38, 48, 58, 96, 97, 98, 99, 40, 41, 42, 34, 35, 36, 46, 56]
[7, 17, 27, 37, 47, 30, 31, 32, 33, 91, 92, 93, 53, 54, 55, 51, 52]
[40, 50, 60, 70, 80, 74, 75, 76, 77, 48, 58, 68, 11, 21, 31, 44, 54]
[94, 95, 96, 97, 98, 31, 41, 51, 61, 53, 54, 55, 16, 26, 36, 91, 92]
[25, 26, 27, 28, 29, 80, 81, 82, 83, 34, 35, 36, 37, 47, 57, 1, 2]
[41, 42, 43, 44, 45, 0, 10, 20, 30, 37, 47, 57, 56, 66, 76, 38, 48]
[32, 33, 34, 35, 36, 25, 26, 27, 28, 65, 75, 85, 7, 8, 9, 50, 51]
